index,type,from,to,dataset,year,change,reversions,reversion_count,reverts_a_previous_change,reverts_a_later_change,complete_reversions,complete_reversions_summary,complete_reversion_count,completely_reverts_a_previous_change,completely_reverts_a_later_change
320,split,Pterodroma arminjoniana,"Pterodroma heraldica, Pterodroma arminjoniana",aou_7_56 (2015),2015,"Pterodroma arminjoniana -> Pterodroma heraldica + Pterodroma arminjoniana [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
321,split,Puffinus auricularis,"Puffinus newelli, Puffinus auricularis, Puffinus myrtae",aou_7_56 (2015),2015,"Puffinus auricularis -> Puffinus newelli + Puffinus auricularis + Puffinus myrtae [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
322,split,Calliphlox evelynae,"Calliphlox evelynae, Calliphlox lyrura",aou_7_56 (2015),2015,"Calliphlox evelynae -> Calliphlox evelynae + Calliphlox lyrura [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
323,split,Phaethornis longirostris,"Phaethornis longirostris, Phaethornis mexicanus",aou_7_56 (2015),2015,"Phaethornis longirostris -> Phaethornis longirostris + Phaethornis mexicanus [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
324,split,Akialoa ellisiana,"Akialoa stejnegeri, Akialoa lanaiensis, Akialoa ellisiana",aou_7_56 (2015),2015,"Akialoa ellisiana -> Akialoa stejnegeri + Akialoa lanaiensis + Akialoa ellisiana [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
325,split,Hemignathus lucidus,"Hemignathus hanapepe, Hemignathus affinis, Hemignathus lucidus",aou_7_56 (2015),2015,"Hemignathus lucidus -> Hemignathus hanapepe + Hemignathus affinis + Hemignathus lucidus [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
326,split,Loxops coccineus,"Loxops coccineus, Loxops ochraceus, Loxops wolstenholmei",aou_7_56 (2015),2015,"Loxops coccineus -> Loxops coccineus + Loxops ochraceus + Loxops wolstenholmei [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
327,split,Himatione sanguinea,"Himatione sanguinea, Himatione fraithii",aou_7_56 (2015),2015,"Himatione sanguinea -> Himatione sanguinea + Himatione fraithii [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
328,split,Cranioleuca vulpina,"Cranioleuca dissita, Cranioleuca vulpina",aou_7_56 (2015),2015,"Cranioleuca vulpina -> Cranioleuca dissita + Cranioleuca vulpina [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
329,split,Stercorarius skua,"Stercorarius skua, Stercorarius antarcticus",aou_7_56 (2015),2015,"Stercorarius skua -> Stercorarius skua + Stercorarius antarcticus [split, aou_7_56 (2015)]",,0,no,no,,,0,no,no
