name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset
Geothlypis nelsoni,Geothlypis nelsoni,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Geothlypis aequinoctialis,Geothlypis aequinoctialis,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Tarsiger cyanurus,Tarsiger cyanurus,1,Dataset aou_6_35 (1985); Dataset aou_7_52 (2011); Checklist NACC_list_species_aou_7_57.csv (2017),1985; 2011; 2017,no,yes
Rynchops niger,"Rynchops niger, Rynchops nigra",2,Checklist aou_1.csv (1886); Dataset aou_4 (1931); Dataset aou_5_32 (1973); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1931; 1973; January 1982; February 1982; 2017,yes,yes
Trogon aurantiiventris,Trogon aurantiiventris,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Thryorchilus browni,Thryorchilus browni,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Estrilda melpoda,Estrilda melpoda,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 2017,no,yes
Calliphlox lyrura,Calliphlox lyrura,1,Dataset aou_7_56 (2015); Checklist NACC_list_species_aou_7_57.csv (2017),2015; 2017,no,yes
Coereba bahamensis,"Certhiola bahamensis, Coereba bahamensis",2,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889); Dataset aou_4_31 (1956); Dataset aou_5 (1957); Dataset aou_5_32 (1973),1886; 1889; 1956; 1957; 1973,yes,no
Euphonia hirundinacea,Euphonia hirundinacea,1,Dataset aou_6 (1983); Dataset aou_7_44 (2003); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2003; 2017,no,yes
Pterodroma nigripennis,Pterodroma nigripennis,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 2017,no,yes
Geothlypis flavovelata,Geothlypis flavovelata,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Pselliophorus luteoviridis,Pselliophorus luteoviridis,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Oceanodroma homochroa,Oceanodroma homochroa,1,Checklist aou_1.csv (1886); Dataset aou_3_18 (1923); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1923; January 1982; February 1982; 2017,yes,yes
Zentrygon costaricensis,"Geotrygon costaricensis, Zentrygon costaricensis",2,Dataset aou_6 (1983); Dataset aou_7_55 (2014); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2014; 2017,no,yes
Locustella ochotensis,Locustella ochotensis,1,Dataset aou_4 (1931); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1957; January 1982; February 1982; 1983; 2010; 2017,no,yes
Atthis heloisa,Atthis heloisa,1,Dataset aou_3_18 (1923); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1923; 1931; January 1982; February 1982; 2017,no,yes
Polioptila schistaceigula,Polioptila schistaceigula,1,Dataset aou_6 (1983); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2010; 2017,no,yes
Amazona autumnalis,Amazona autumnalis,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Cacicus cela,Cacicus cela,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Egretta tricolor,"Ardea tricolor, Ardea tricolor ruficollis, Egretta tricolor, Hydranassa tricolor",4,Checklist aou_1.csv (1886); Dataset aou_2_12 (1903); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1903; January 1982; February 1982; 2017,yes,yes
Cinclus mexicanus,Cinclus mexicanus,1,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; January 1982; February 1982; 2017,yes,yes
Amazona xantholora,Amazona xantholora,1,Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2017,no,yes
Coccyzus rufigularis,"Coccyzus rufigularis, Hyetornis rufigularis",2,Dataset aou_6 (1983); Dataset aou_7_47 (2006); Dataset aou_7_49 (2008); Checklist NACC_list_species_aou_7_57.csv (2017),1983; 2006; 2008; 2017,no,yes
Lymnocryptes minimus,"Lymnocryptes minimus, Lymnocryptes minima",2,Dataset aou_4 (1931); Dataset aou_4_19 (1944); Dataset aou_4_23 (1948); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; 1944; 1948; 1957; January 1982; February 1982; 2017,no,yes
Limnothlypis swainsonii,"Helinaia swainsoni, Limnothlypis swainsonii, Helinaia swainsonii",3,Checklist aou_1.csv (1886); Dataset aou_3 (1910); Dataset aou_3_17 (1920); Dataset aou_5 (1957); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6 (1983); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1910; 1920; 1957; January 1982; February 1982; 1983; 2017,yes,yes
Alle alle,"Alle alle, Plautus alle",2,Checklist aou_1.csv (1886); Dataset aou_4_19 (1944); Dataset aou_5_32 (1973); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1944; 1973; February 1982; 2017,yes,yes
Anthus trivialis,Anthus trivialis,1,Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_6_40 (1995); Checklist NACC_list_species_aou_7_57.csv (2017),January 1982; February 1982; 1995; 2017,no,yes
Aimophila ruficeps,"Peucaea ruficeps eremoeca, Aimophila ruficeps, Peucaea ruficeps, Peucaea ruficeps boucardi",4,Checklist aou_1.csv (1886); Dataset aou_2_09 (1899); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_51 (2010); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1899; January 1982; February 1982; 2010; 2017,yes,yes
Pterodroma heraldica,Pterodroma heraldica,1,Dataset aou_7_56 (2015); Checklist NACC_list_species_aou_7_57.csv (2017),2015; 2017,no,yes
