name,cluster,cluster_count,datasets,dates,recognized_in_first_dataset,recognized_in_last_dataset,suspicious,"Note that every ""fixed"" here means that the cluster was broken. No other taxonomic changes were entered."
Phalacrocorax mexicanus,Phalacrocorax mexicanus,1,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908),1886; 1908,yes,no,no,
Phalacrocorax olivaceus,"Phalacrocorax vigua, Phalacrocorax olivaceus",2,Dataset aou_2_14 (1908); Dataset aou_4 (1931),1908; 1931,no,no,yes,Avibase: rename
Phalacrocorax pelagicus,"Phalacrocorax pelagicus robustus, Phalacrocorax pelagicus resplendens, Phalacrocorax pelagicus",3,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Phalacrocorax penicillatus,Phalacrocorax penicillatus,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Phalacrocorax urile,Phalacrocorax urile,1,Checklist aou_1.csv (1886); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; February 1982; 2017,yes,yes,no,
Phalaenoptilus nuttallii,"Phalaenoptilus nuttalli, Phalaenoptilus nuttallii",2,Checklist aou_1.csv (1886); Dataset aou_1_01 (1889); Dataset aou_2 (1895); Dataset aou_3 (1910); Dataset aou_4_21 (1946); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1889; 1895; 1910; 1946; January 1982; February 1982; 2017,yes,yes,no,
Phalaropus fulicarius,"Phalaropus fulicarius, Phalaropus fulicaria, Crymophilus fulicarius",3,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Dataset aou_7_43 (2002); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; January 1982; February 1982; 2002; 2017,yes,yes,no,
Phalaropus lobatus,"Phalaropus lobatus, Lobipes lobatus",2,Checklist aou_1.csv (1886); Dataset aou_2_14 (1908); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1908; 1931; January 1982; February 1982; 2017,yes,yes,no,
Phalaropus tricolor,"Phalaropus tricolor, Steganopus tricolor",2,Checklist aou_1.csv (1886); Dataset aou_2_08 (1897); Dataset aou_4 (1931); Dataset aou_5_34 (January 1982); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1886; 1897; 1931; January 1982; February 1982; 2017,yes,yes,no,
Phasianus colchicus,Phasianus colchicus,1,Dataset aou_4 (1931); Checklist aou_5_34.csv (February 1982); Checklist NACC_list_species_aou_7_57.csv (2017),1931; February 1982; 2017,no,yes,no,
