index,type,from,to,dataset,year,reversions,reversion_count,reverts_a_previous_change,reverts_a_later_change,complete_reversions,complete_reversions_summary,complete_reversion_count,completely_reverts_a_previous_change,completely_reverts_a_later_change
163,lump,"Leucosticte atrata, Leucosticte australis, Leucosticte arctoa, Leucosticte tephrocotis",Leucosticte arctoa,aou_5_34 (January 1982),1982,"Leucosticte arctoa -> Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis [split, aou_6_39 (1993)]",1,no,yes,"Leucosticte arctoa -> Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis [split, aou_6_39 (1993)]","lump (1982) -> split (1993) [starting with change Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis -> Leucosticte arctoa [lump, aou_5_34 (January 1982)]]",1,no,yes
164,split,Empidonax oberholseri,"Empidonax wrightii, Empidonax oberholseri",aou_5_34 (January 1982),1982,"Empidonax wrightii + Empidonax oberholseri -> Empidonax oberholseri [lump, aou_4_28 (1953)]",1,yes,no,"Empidonax wrightii + Empidonax oberholseri -> Empidonax oberholseri [lump, aou_4_28 (1953)]","lump (1953) -> split (1982) [starting with change Empidonax wrightii + Empidonax oberholseri -> Empidonax oberholseri [lump, aou_4_28 (1953)]]",1,yes,no
165,split,Aechmophorus occidentalis,"Aechmophorus occidentalis, Aechmophorus clarkii",aou_6_35 (1985),1985,,0,no,no,,,0,no,no
166,split,Gavia arctica,"Gavia pacifica, Gavia arctica",aou_6_35 (1985),1985,"Gavia pacifica + Gavia arctica -> Gavia arctica [lump, aou_4 (1931)]",1,yes,no,"Gavia pacifica + Gavia arctica -> Gavia arctica [lump, aou_4 (1931)]","lump (1931) -> split (1985) [starting with change Gavia pacifica + Gavia arctica -> Gavia arctica [lump, aou_4 (1931)]]",1,yes,no
167,split,Ortalis vetula,"Ortalis vetula, Ortalis leucogastra",aou_6_35 (1985),1985,,0,no,no,,,0,no,no
168,split,Sphyrapicus varius,"Sphyrapicus nuchalis, Sphyrapicus varius",aou_6_35 (1985),1985,,0,no,no,,,0,no,no
169,split,Vireo olivaceus,"Vireo flavoviridis, Vireo olivaceus",aou_6_36 (1987),1987,,0,no,no,,,0,no,no
170,split,Polioptila melanura,"Polioptila californica, Polioptila melanura",aou_6_37 (1989),1989,"Polioptila californica + Polioptila melanura -> Polioptila melanura [lump, aou_4 (1931)]",1,yes,no,"Polioptila californica + Polioptila melanura -> Polioptila melanura [lump, aou_4 (1931)]","lump (1931) -> split (1989) [starting with change Polioptila californica + Polioptila melanura -> Polioptila melanura [lump, aou_4 (1931)]]",1,yes,no
171,split,Anthus spinoletta,"Anthus spinoletta, Anthus rubescens",aou_6_37 (1989),1989,"Anthus spinoletta + Anthus rubescens -> Anthus spinoletta [lump, aou_4 (1931)]",1,yes,no,"Anthus spinoletta + Anthus rubescens -> Anthus spinoletta [lump, aou_4 (1931)]","lump (1931) -> split (1989) [starting with change Anthus spinoletta + Anthus rubescens -> Anthus spinoletta [lump, aou_4 (1931)]]",1,yes,no
172,split,Empidonax difficilis,"Empidonax difficilis, Empidonax occidentalis",aou_6_37 (1989),1989,,0,no,no,,,0,no,no
173,split,Pipilo fuscus,"Pipilo crissalis, Pipilo fuscus",aou_6_37 (1989),1989,"Pipilo crissalis + Pipilo fuscus -> Pipilo fuscus [lump, aou_4 (1931)]",1,yes,no,"Pipilo crissalis + Pipilo fuscus -> Pipilo fuscus [lump, aou_4 (1931)]","lump (1931) -> split (1989) [starting with change Pipilo crissalis + Pipilo fuscus -> Pipilo fuscus [lump, aou_4 (1931)]]",1,yes,no
174,split,Butorides striatus,"Butorides striatus, Butorides virescens",aou_6_39 (1993),1993,"Butorides striatus + Butorides virescens -> Butorides striatus [lump, aou_5_33 (1976)]",1,yes,no,"Butorides striatus + Butorides virescens -> Butorides striatus [lump, aou_5_33 (1976)]","lump (1976) -> split (1993) [starting with change Butorides striatus + Butorides virescens -> Butorides striatus [lump, aou_5_33 (1976)]]",1,yes,no
175,split,Elanus caeruleus,"Elanus leucurus, Elanus caeruleus",aou_6_39 (1993),1993,"Elanus leucurus + Elanus caeruleus -> Elanus caeruleus [lump, aou_5_34 (January 1982)]",1,yes,no,"Elanus leucurus + Elanus caeruleus -> Elanus caeruleus [lump, aou_5_34 (January 1982)]","lump (1982) -> split (1993) [starting with change Elanus leucurus + Elanus caeruleus -> Elanus caeruleus [lump, aou_5_34 (January 1982)]]",1,yes,no
176,split,Pluvialis dominica,"Pluvialis dominica, Pluvialis fulva",aou_6_39 (1993),1993,,0,no,no,,,0,no,no
177,split,Leucosticte arctoa,"Leucosticte atrata, Leucosticte australis, Leucosticte arctoa, Leucosticte tephrocotis",aou_6_39 (1993),1993,"Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis -> Leucosticte arctoa [lump, aou_5_34 (January 1982)]",1,yes,no,"Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis -> Leucosticte arctoa [lump, aou_5_34 (January 1982)]","lump (1982) -> split (1993) [starting with change Leucosticte atrata + Leucosticte australis + Leucosticte arctoa + Leucosticte tephrocotis -> Leucosticte arctoa [lump, aou_5_34 (January 1982)]]",1,yes,no
178,split,Larus argentatus,"Larus argentatus, Larus cachinnans",aou_6_39 (1993),1993,,0,no,no,,,0,no,no
179,split,Aphelocoma coerulescens,"Aphelocoma californica, Aphelocoma insularis, Aphelocoma coerulescens",aou_6_40 (1995),1995,"Aphelocoma californica + Aphelocoma coerulescens -> Aphelocoma coerulescens [lump, aou_4_19 (1944)]; Aphelocoma insularis + Aphelocoma coerulescens -> Aphelocoma coerulescens [lump, aou_4_19 (1944)]",2,yes,no,,,0,no,no
180,split,Ammodramus caudacutus,"Ammodramus caudacutus, Ammodramus nelsoni",aou_6_40 (1995),1995,"Passerherbulus nelsoni + Passerherbulus caudacutus -> Passerherbulus caudacutus [lump, aou_4 (1931)]",1,yes,no,,,0,no,no
181,split,Pipilo erythrophthalmus,"Pipilo erythrophthalmus, Pipilo maculatus",aou_6_40 (1995),1995,"Pipilo erythrophthalmus + Pipilo maculatus -> Pipilo erythrophthalmus [lump, aou_4_29 (1954)]",1,yes,no,"Pipilo erythrophthalmus + Pipilo maculatus -> Pipilo erythrophthalmus [lump, aou_4_29 (1954)]","lump (1954) -> split (1995) [starting with change Pipilo erythrophthalmus + Pipilo maculatus -> Pipilo erythrophthalmus [lump, aou_4_29 (1954)]]",1,yes,no
182,split,Icterus galbula,"Icterus bullockii, Icterus galbula, Icterus abeillei",aou_6_40 (1995),1995,"Icterus bullockii + Icterus galbula -> Icterus galbula [lump, aou_5_32 (1973)]",1,yes,no,,,0,no,no
183,split,Catharus minimus,"Catharus bicknelli, Catharus minimus",aou_6_40 (1995),1995,,0,no,no,,,0,no,no
184,split,Oxyura jamaicensis,"Oxyura jamaicensis, Oxyura ferruginea",aou_6_41 (1997),1997,,0,no,no,,,0,no,no
185,split,Anas acuta,"Anas eatoni, Anas acuta",aou_6_41 (1997),1997,,0,no,no,,,0,no,no
186,split,Vireo solitarius,"Vireo cassinii, Vireo solitarius, Vireo plumbeus",aou_6_41 (1997),1997,,0,no,no,,,0,no,no
187,split,Baeolophus inornatus,"Baeolophus ridgwayi, Baeolophus inornatus",aou_6_41 (1997),1997,,0,no,no,,,0,no,no
