name,synonyms,taxon_concept_count,taxon_concepts,trajectory,trajectory_without_renames,trajectory_lumps_splits,first_added_dataset,first_added_year,annotation,common_name,aou_ids,family,french_name,genus,order,rank,scientificName,species,status_accidental,status_extinct,status_hawaiian,status_introduced,status_misplaced,status_nonbreeding,subfamily
Anas clypeata,Spatula clypeata; Anas clypeata,1,Taxon concept 71ba8166-9bfa-43c4-8ada-17d3c0f9051e containing 'Spatula clypeata' and 'Anas clypeata' found between 1886 to 2017 in 6 datasets (part of name cluster 87966c10-7160-4449-9e6a-5e790ba01e75),added -> referenced -> rename -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Northern Shoveler,44; 142,Anatidae,Canard souchet,Anas,Anseriformes,species,Spatula clypeata; Anas clypeata,Anas clypeata,NA,NA,NA,NA,NA,NA,Anatinae
Uria lomvia,Uria lomvia; Uria lomvia arra,1,Taxon concept f1eb6264-3bdc-4667-af86-535d171b00bc containing 'Uria lomvia arra' and 'Uria lomvia' found between 1886 to 2017 in 5 datasets (part of name cluster d1ef83cf-bc14-4edc-b0b3-da2f57812525),added|added -> referenced -> referenced -> deleted -> referenced,added|added -> referenced -> referenced -> deleted -> referenced,,aou_1.csv (1886),1886,NA,Thick-billed Murre,31a; 515; 31,Alcidae,Guillemot de Brünnich,Uria,Charadriiformes,species,Uria lomvia; Uria lomvia arra,Uria lomvia,NA,NA,NA,NA,NA,NA,NA
Myioborus pictus,Myioborus pictus; Setophaga picta,1,Taxon concept 3e8355b7-40f1-4c4e-9b01-ec379437cec5 containing 'Setophaga picta' and 'Myioborus pictus' found between 1886 to 2017 in 8 datasets (part of name cluster 97388835-a56f-4958-9a7e-ab3bf5346b70),added -> referenced -> referenced -> rename -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Painted Redstart,688; 1606,Parulidae,Paruline à ailes blanches,Myioborus,Passeriformes,species,Myioborus pictus; Setophaga picta,Myioborus pictus,NA,NA,NA,NA,NA,NA,NA
Egretta tricolor,Ardea tricolor; Ardea tricolor ruficollis; Egretta tricolor; Hydranassa tricolor,1,Taxon concept e4abc829-e19e-4034-8725-91f2fa58a642 containing 'Ardea tricolor' and 'Ardea tricolor ruficollis' and 'Hydranassa tricolor' and 'Egretta tricolor' found between 1886 to 2017 in 5 datasets (part of name cluster e0baa151-59a2-4d59-984a-f986a07aa948),added -> rename -> rename -> deleted -> referenced,added -> deleted -> referenced,,aou_1.csv (1886),1886,NA,Tricolored Heron,199; 234,Ardeidae,Aigrette tricolore,Egretta,Pelecaniformes,species,Ardea tricolor ruficollis; Egretta tricolor,Egretta tricolor,NA,NA,NA,NA,NA,NA,NA
Pterodroma inexpectata,Pterodroma inexpectata,2,Taxon concept d6545c2c-059f-4efe-907d-3e8d1adcdc7d containing 'Pterodroma inexpectata' found between 1931 to 2017 in 4 datasets (part of name cluster 298599b9-b737-4065-96d7-51c62bef7b05); Taxon concept 093aab02-7875-45eb-bc6d-5a5c8e584380 containing 'Pterodroma inexpectata' found between 1931 in 1 datasets (part of name cluster 298599b9-b737-4065-96d7-51c62bef7b05),lump -> referenced -> referenced -> referenced,lump -> referenced -> referenced -> referenced,lump,aou_4 (1931),1931,Monotypic.,Mottled Petrel,153,Procellariidae,Pétrel maculé,Pterodroma,Procellariiformes,species,Pterodroma inexpectata,Pterodroma inexpectata,NA,NA,NA,NA,NA,N,NA
Cygnus olor,Cygnus olor; Sthenelides olor,1,Taxon concept 12bccebc-7008-44b2-9cfa-802f0a1d48a2 containing 'Cygnus olor' and 'Sthenelides olor' found between 1931 to 2017 in 4 datasets (part of name cluster c7106d6e-2e5b-45e2-9c00-8b8dc6df7e57),added -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_4 (1931),1931,Monotypic.,Mute Swan,24,Anatidae,Cygne tuberculé,Cygnus,Anseriformes,species,Cygnus olor,Cygnus olor,NA,NA,NA,I,NA,NA,Anserinae
Tringa solitaria,Tringa solitaria; Helodromas solitarius; Totanus solitarius,1,Taxon concept e214409d-7616-4d29-a4e0-d008aa0a9bc2 containing 'Tringa solitaria' and 'Helodromas solitarius' and 'Totanus solitarius' found between 1886 to 2017 in 5 datasets (part of name cluster 77ca4b08-f2f3-4107-beb5-0560bc07bef8),added -> rename -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Solitary Sandpiper,399; 256,Scolopacidae,Chevalier solitaire,Tringa,Charadriiformes,species,Tringa solitaria; Totanus solitarius,Tringa solitaria,NA,NA,NA,NA,NA,NA,Tringinae
Arenaria interpres,Arenaria interpres,2,Taxon concept 2243739a-4394-4eda-90b4-8e5ed3eaef24 containing 'Arenaria interpres' found between 1908 to 2017 in 4 datasets (part of name cluster 256869a3-1f27-4bfc-a5a3-75e1867f3c8a); Taxon concept d9ef5eeb-b35c-4907-8142-41794b9f6d84 containing 'Arenaria interpres' found between 1886 to 1908 in 2 datasets (part of name cluster 256869a3-1f27-4bfc-a5a3-75e1867f3c8a),added -> lump -> referenced -> referenced -> referenced,added -> lump -> referenced -> referenced -> referenced,lump,aou_1.csv (1886),1886,NA,Ruddy Turnstone,423; 283,Scolopacidae,Tournepierre à collier,Arenaria,Charadriiformes,species,Arenaria interpres,Arenaria interpres,NA,NA,NA,NA,NA,NA,Arenariinae
Mniotilta varia,Mniotilta varia,1,Taxon concept f403fc8a-5c49-45a4-99f7-076b1433e59e containing 'Mniotilta varia' found between 1886 to 2017 in 7 datasets (part of name cluster 3175e29e-4fbf-4b44-9025-ff113f846309),added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Black-and-white Warbler,1575; 636,Parulidae,Paruline noir et blanc,Mniotilta,Passeriformes,species,Mniotilta varia,Mniotilta varia,NA,NA,NA,NA,NA,NA,NA
Oceanodroma socorroensis,Oceanodroma socorroensis; Oceanodroma soccoroensis,3,Taxon concept 654484d0-06c1-41a3-966b-20eb3301d0cf containing 'Oceanodroma socorroensis' and 'Oceanodroma soccoroensis' found between 1897 to 1946 in 6 datasets (part of name cluster 531c8b8c-01e2-439e-86a9-f39b69ca6dc9); Taxon concept 963aff5d-71f5-4551-a0d2-9db1d069880c containing 'Oceanodroma socorroensis' found between 2016 to 2017 in 2 datasets (part of name cluster 531c8b8c-01e2-439e-86a9-f39b69ca6dc9); Taxon concept ce955ac7-0a64-492e-8b55-bdd45e8d873b containing 'Oceanodroma socorroensis' and 'Oceanodroma soccoroensis' found between 1946 to 2016 in 2 datasets (part of name cluster 531c8b8c-01e2-439e-86a9-f39b69ca6dc9),added -> referenced -> added -> referenced -> rename -> lump -> split -> referenced,added -> referenced -> added -> referenced -> lump -> split -> referenced,lump -> split,aou_2_08 (1897),1897,Formerly considered conspecific with Oceanodroma leucorhoa and O. cheimomnestes.,Townsend's Storm-Petrel,12151,Hydrobatidae,Océanite de Townsend,Oceanodroma,Procellariiformes,species,NA,Oceanodroma socorroensis,NA,NA,NA,NA,NA,NA,NA
Larus schistisagus,Larus schistisagus,1,Taxon concept e51d1289-7326-421f-965c-0cbc8a1b9ce7 containing 'Larus schistisagus' found between 1886 to 2017 in 3 datasets (part of name cluster 3ee4a6c5-5fec-44f9-a101-96e30d01723d),added -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Slaty-backed Gull,48; 472,Laridae,Goéland à manteau ardoisé,Larus,Charadriiformes,species,Larus schistisagus,Larus schistisagus,NA,NA,NA,NA,NA,NA,Larinae
Crotophaga sulcirostris,Crotophaga sulcirostris,1,Taxon concept d4796323-9e84-40c4-bbf1-65344fb154ae containing 'Crotophaga sulcirostris' found between 1886 to 2017 in 3 datasets (part of name cluster a5a434c6-6661-4f21-b20a-f4b43aeb442b),added -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Groove-billed Ani,663; 384,Cuculidae,Ani à bec cannelé,Crotophaga,Cuculiformes,species,Crotophaga sulcirostris,Crotophaga sulcirostris,NA,NA,NA,NA,NA,NA,Crotophaginae
Puffinus auricularis,Puffinus auricularis,2,Taxon concept f4bc2fcb-9a95-41c9-a0c3-f45378f12c89 containing 'Puffinus auricularis' found between 1899 to 2015 in 5 datasets (part of name cluster fc8852d0-49e9-46b6-9774-d49e8d5c4bb2); Taxon concept 6dc2d94f-64e1-43f2-9862-343b1bf43254 containing 'Puffinus auricularis' found between 2015 to 2017 in 2 datasets (part of name cluster fc8852d0-49e9-46b6-9774-d49e8d5c4bb2),added -> referenced -> referenced -> referenced -> split -> referenced,added -> referenced -> referenced -> referenced -> split -> referenced,split,aou_2_09 (1899),1899,NA,Townsend's Shearwater,178,Procellariidae,Puffin de Townsend,Puffinus,Procellariiformes,species,Puffinus auricularis,Puffinus auricularis,NA,NA,NA,NA,NA,NA,NA
Pachyramphus aglaiae,Platypsaris albiventris; Platypsaris aglaiae; Pachyramphus aglaiae,1,Taxon concept ccedbf37-edd4-48bf-aaac-0a13dd79ff3a containing 'Platypsaris albiventris' and 'Pachyramphus aglaiae' and 'Platypsaris aglaiae' found between 1890 to 2017 in 14 datasets (part of name cluster dc611831-89cd-4896-a455-8edda97994a2),added -> referenced -> rename -> referenced -> rename -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1_02 (1890),1890,NA,Rose-throated Becard,2029,Tityridae,Bécarde à gorge rose,Pachyramphus,Passeriformes,species,Pachyramphus aglaiae,Pachyramphus aglaiae,NA,NA,NA,NA,NA,NA,NA
Zenaida asiatica,Melopelia leucoptera; Melopelia asiatica; Zenaida asiatica,1,Taxon concept 2d1ffc02-2c94-412c-b822-17f4654426b5 containing 'Melopelia leucoptera' and 'Zenaida asiatica' and 'Melopelia asiatica' found between 1886 to 2017 in 5 datasets (part of name cluster b9f147cf-6a98-474c-aa06-9afd11194595),added -> rename -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,White-winged Dove,553; 319,Columbidae,Tourterelle à ailes blanches,Zenaida,Columbiformes,species,Melopelia leucoptera; Zenaida asiatica,Zenaida asiatica,NA,NA,NA,NA,NA,NA,NA
Calidris pygmea,Calidris pygmea; Eurynorhynchus pygmeus; Eurynorhynchus pygmeum; Eurynorhynchus pygmaeus,1,Taxon concept 1abe5355-6311-43a3-aac9-d361461a806f containing 'Eurynorhynchus pygmeus' and 'Calidris pygmea' and 'Eurynorhynchus pygmaeus' and 'Eurynorhynchus pygmeum' found between 1886 to 2017 in 9 datasets (part of name cluster 7450c0c7-d733-4b98-a23b-f09a68ba85d9),added -> rename -> rename -> rename -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Formerly placed in the genus Eurynorhynchus. Monotypic.,Spoon-billed Sandpiper,10461; [245],Scolopacidae,Bécasseau spatule,Calidris,Charadriiformes,species,Eurynorhynchus pygmeus; Eurynorhynchus pygmaeus,Calidris pygmea,A,NA,NA,NA,NA,NA,Arenariinae
Mycteria americana,Tantalus loculator; Mycteria americana,1,Taxon concept d7d49cc9-bd93-4925-87c9-5fa6386107e5 containing 'Mycteria americana' and 'Tantalus loculator' found between 1886 to 2017 in 5 datasets (part of name cluster 5e47cd5b-c17c-448e-8649-072e8dfe2e14),added|added -> rename -> referenced -> referenced -> referenced,added|added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Wood Stork,253; 188; [189],Ciconiidae,Tantale d'Amérique,Mycteria,Ciconiiformes,species,Tantalus loculator; Mycteria americana,Mycteria americana,NA,NA,NA,NA,NA,NA,NA
Phoebastria immutabilis,Diomedea immutabilis; Phoebastria immutabilis,1,Taxon concept 53170bb8-7c50-4000-96fa-90aba383faef containing 'Diomedea immutabilis' and 'Phoebastria immutabilis' found between 1899 to 2017 in 4 datasets (part of name cluster abd5aaad-9c77-411a-880c-7367cae13a5a),added -> referenced -> rename -> referenced,added -> referenced -> referenced,,aou_2_09 (1899),1899,Monotypic.,Laysan Albatross,146,Diomedeidae,Albatros de Laysan,Phoebastria,Procellariiformes,species,Diomedea immutabilis,Phoebastria immutabilis,NA,NA,NA,NA,NA,NA,NA
Bonasa umbellus,Bonasa umbellus togata; Bonasa umbellus; Bonasa umbellus umbelloides; Bonasa umbellus sabini,1,Taxon concept a8c1fd27-d8aa-4ff7-ae0b-a60ca81b766c containing 'Bonasa umbellus sabini' and 'Bonasa umbellus umbelloides' and 'Bonasa umbellus' and 'Bonasa umbellus togata' found between 1886 to 2017 in 4 datasets (part of name cluster ef77d6ac-2b32-4b13-b3ce-042e7501346e),added|added|added|added -> referenced -> deleted|deleted|deleted -> referenced,added|added|added|added -> referenced -> deleted|deleted|deleted -> referenced,,aou_1.csv (1886),1886,NA,Ruffed Grouse,300; 300c; 300b; 300a; 98,Phasianidae,Gélinotte huppée,Bonasa,Galliformes,species,Bonasa umbellus togata; Bonasa umbellus; Bonasa umbellus umbelloides; Bonasa umbellus sabini,Bonasa umbellus,NA,NA,NA,NA,NA,NA,Tetraoninae
Icterus croconotus,Icterus croconotus,2,Taxon concept 0e584a61-2209-4d0b-910e-5ad4bf087a81 containing 'Icterus croconotus' found between 2008 in 1 datasets (part of name cluster 7091de48-0a72-47c6-8ad1-cf343e4a8526); Taxon concept e176ef90-abcb-4b98-b062-a9ce9be29a63 containing 'Icterus croconotus' found between 2008 in 1 datasets (part of name cluster 7091de48-0a72-47c6-8ad1-cf343e4a8526),split,split,split,aou_7_49 (2008),2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterna dougallii,Sterna dougallii; Sterna dougalli,1,Taxon concept c2834f5e-f8fb-4d8a-9b16-224a5dc5d97d containing 'Sterna dougallii' and 'Sterna dougalli' found between 1886 to 2017 in 4 datasets (part of name cluster c3997280-6d4e-42cb-8b50-4dfb72480192),added -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Roseate Tern,500; 72,Laridae,Sterne de Dougall,Sterna,Charadriiformes,species,Sterna dougallii; Sterna dougalli,Sterna dougallii,NA,NA,NA,NA,NA,NA,Sterninae
Calypte anna,Calypte anna; Trochilus anna,1,Taxon concept ad5a579e-2a15-40bd-9069-1ebf4a2be6c0 containing 'Calypte anna' and 'Trochilus anna' found between 1886 to 2017 in 4 datasets (part of name cluster 724cce23-bc19-41c5-b42b-c51d8378d513),added -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Anna's Hummingbird,431; 868,Trochilidae,Colibri d'Anna,Calypte,Apodiformes,species,Calypte anna; Trochilus anna,Calypte anna,NA,NA,NA,NA,NA,NA,Trochilinae
Anas americana,Mareca americana; Anas americana,1,Taxon concept fcad8472-108f-411e-9150-a94ab3c59f61 containing 'Anas americana' and 'Mareca americana' found between 1886 to 2017 in 6 datasets (part of name cluster 62141772-f842-44b0-baf7-8746e846b0cf),added -> rename -> referenced -> rename -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,American Wigeon,35; 137,Anatidae,Canard d'Amérique,Anas,Anseriformes,species,Anas americana,Anas americana,NA,NA,NA,NA,NA,NA,Anatinae
Selasphorus platycercus,Selasphorus platycercus; Trochilus platycercus,1,Taxon concept 9fad2fda-e273-40ef-80f2-b048543d6575 containing 'Selasphorus platycercus' and 'Trochilus platycercus' found between 1886 to 2017 in 4 datasets (part of name cluster 0d4e4956-8d8d-4e0d-8526-fba821095195),added -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Broad-tailed Hummingbird,432; 873,Trochilidae,Colibri à queue large,Selasphorus,Apodiformes,species,Selasphorus platycercus; Trochilus platycercus,Selasphorus platycercus,NA,NA,NA,NA,NA,NA,Trochilinae
Setophaga townsendi,Setophaga townsendi; Dendroica townsendi,1,Taxon concept 0720c4a1-7ef9-49f7-9193-671d5c6423b5 containing 'Dendroica townsendi' and 'Setophaga townsendi' found between 1886 to 2017 in 8 datasets (part of name cluster f2de7f2d-eadb-4c1a-941b-a48ff2f3e1ce),added -> referenced -> referenced -> referenced -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Townsend's Warbler,1554; 668,Parulidae,Paruline de Townsend,Setophaga,Passeriformes,species,Dendroica townsendi,Setophaga townsendi,NA,NA,NA,NA,NA,NA,NA
Buteo albonotatus,Buteo albonotatus; Buteo abbreviatus,1,Taxon concept bf0e9261-a52c-47c1-a344-9df5a37b9c89 containing 'Buteo abbreviatus' and 'Buteo albonotatus' found between 1886 to 2017 in 6 datasets (part of name cluster 16a49603-a91a-460b-bf94-27820e294cc0),added -> referenced -> referenced -> rename -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Zone-tailed Hawk,303; 340,Accipitridae,Buse à queue barrée,Buteo,Accipitriformes,species,Buteo albonotatus; Buteo abbreviatus,Buteo albonotatus,NA,NA,NA,NA,NA,NA,NA
Selasphorus rufus,Selasphorus rufus; Trochilus rufus,1,Taxon concept 0e5d7b61-025f-4f69-af7c-9586142748c2 containing 'Trochilus rufus' and 'Selasphorus rufus' found between 1886 to 2017 in 4 datasets (part of name cluster 87ffdfc6-bfd7-4155-a5cd-8ac8e97a66e4),added -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Rufous Hummingbird,433; 874,Trochilidae,Colibri roux,Selasphorus,Apodiformes,species,Selasphorus rufus; Trochilus rufus,Selasphorus rufus,NA,NA,NA,NA,NA,NA,Trochilinae
Artemisiospiza belli,Amphispiza belli nevadensis; Amphispiza belli; Artemisiospiza belli,3,Taxon concept fa4615df-ae2a-4d1d-88c7-a1b51b6b8793 containing 'Artemisiospiza belli' found between 2013 to 2017 in 2 datasets (part of name cluster fde81a65-2e60-4275-9f89-ce4b115bbe82); Taxon concept 046ceaab-71aa-468d-8644-b70d226b0721 containing 'Artemisiospiza belli' and 'Amphispiza belli' found between 1944 to 2013 in 6 datasets (part of name cluster fde81a65-2e60-4275-9f89-ce4b115bbe82); Taxon concept b28808ed-0962-4024-9627-e17542a573b6 containing 'Amphispiza belli' and 'Amphispiza belli nevadensis' found between 1886 to 1944 in 3 datasets (part of name cluster fde81a65-2e60-4275-9f89-ce4b115bbe82),added|added -> referenced -> lump -> referenced -> referenced -> deleted -> rename -> split -> referenced,added|added -> referenced -> lump -> referenced -> referenced -> deleted -> split -> referenced,lump -> split,aou_1.csv (1886),1886,Formerly called Sage Sparrow.,Bell's Sparrow,574; 574a; 10231,Emberizidae,Bruant de Bell,Artemisiospiza,Passeriformes,species,Amphispiza belli nevadensis; Amphispiza belli,Artemisiospiza belli,NA,NA,NA,NA,NA,NA,NA
Laterallus jamaicensis,Porzana jamaicensis; Creciscus jamaicensis; Porzana jamaicensis coturniculus; Laterallus jamaicensis; Crescicus jamaicensis,3,Taxon concept ce1f213f-e6d0-4c52-a304-f1869e8a9fe9 containing 'Porzana jamaicensis' and 'Crescicus jamaicensis' and 'Creciscus jamaicensis' found between 1893 to 1931 in 7 datasets (part of name cluster 1ccea92e-bd9e-4162-92f8-495bf641fd72); Taxon concept a077ffa3-5e0d-4370-aaf2-859a90b1ae1f containing 'Porzana jamaicensis' and 'Porzana jamaicensis coturniculus' found between 1886 to 1893 in 2 datasets (part of name cluster 1ccea92e-bd9e-4162-92f8-495bf641fd72); Taxon concept c05de996-b729-4b20-8521-dab5bd82811f containing 'Laterallus jamaicensis' and 'Creciscus jamaicensis' found between 1931 to 2017 in 4 datasets (part of name cluster 1ccea92e-bd9e-4162-92f8-495bf641fd72),added|added -> split -> referenced -> referenced -> referenced -> rename -> rename -> lump -> rename -> deleted -> referenced,added|added -> split -> referenced -> referenced -> referenced -> lump -> deleted -> referenced,split -> lump,aou_1.csv (1886),1886,NA,Black Rail,216; 338; 216a,Rallidae,Râle noir,Laterallus,Gruiformes,species,Porzana jamaicensis; Porzana jamaicensis coturniculus; Laterallus jamaicensis,Laterallus jamaicensis,NA,NA,NA,NA,NA,NA,NA
Spizelloides arborea,Spizella monticola; Spizella monticola ochracea; Spizelloides arborea; Spizella arborea,1,Taxon concept 46aaf27b-8e3f-4471-ab34-020d6b8baf55 containing 'Spizella monticola' and 'Spizella monticola ochracea' and 'Spizella arborea' and 'Spizelloides arborea' found between 1886 to 2017 in 6 datasets (part of name cluster 9d9e1e84-00e3-4eb0-857d-0bb83092ade5),added|added -> rename -> referenced -> deleted -> rename -> referenced,added|added -> referenced -> deleted -> referenced,,aou_1.csv (1886),1886,NA,American Tree Sparrow,559a; 559; 1704,Emberizidae,Bruant hudsonien,Spizelloides,Passeriformes,species,Spizella monticola; Spizella monticola ochracea; Spizella arborea,Spizelloides arborea,NA,NA,NA,NA,NA,NA,NA
Geothlypis trichas,Geothlypis trichas occidentalis; Geothlypis trichas,1,Taxon concept 5ea4e4ba-7160-4bd0-b884-90eb708a0133 containing 'Geothlypis trichas occidentalis' and 'Geothlypis trichas' found between 1886 to 2017 in 7 datasets (part of name cluster 4456584b-7553-4bab-bf43-7955f533ac12),added|added -> referenced -> referenced -> referenced -> deleted -> referenced -> referenced,added|added -> referenced -> referenced -> referenced -> deleted -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Common Yellowthroat,1587; 681a; 681,Parulidae,Paruline masquée,Geothlypis,Passeriformes,species,Geothlypis trichas occidentalis; Geothlypis trichas,Geothlypis trichas,NA,NA,NA,NA,NA,NA,NA
Apus pacificus,Apus pacificus; Micropus pacificus,1,Taxon concept de5bc015-ed8a-43dc-a2f3-e3bbc043793c containing 'Apus pacificus' and 'Micropus pacificus' found between 1931 to 2017 in 6 datasets (part of name cluster 193fa63e-0d00-49e8-ba00-b7da3d25dec9),added -> rename -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_4 (1931),1931,NA,Fork-tailed Swift,753,Apodidae,Martinet de Sibérie,Apus,Apodiformes,species,Apus pacificus,Apus pacificus,A,NA,NA,NA,NA,NA,Apodinae
Buteo lineatus,Buteo lineatus alleni; Buteo lineatus; Buteo lineatus elegans,1,Taxon concept bf7ad821-063c-4f03-a2e7-41077f854995 containing 'Buteo lineatus elegans' and 'Buteo lineatus' and 'Buteo lineatus alleni' found between 1886 to 2017 in 5 datasets (part of name cluster 2e428f98-c49a-4060-b4b9-ac121ebc860e),added|added|added -> referenced -> referenced -> deleted|deleted -> referenced,added|added|added -> referenced -> referenced -> deleted|deleted -> referenced,,aou_1.csv (1886),1886,NA,Red-shouldered Hawk,339; 339b; 296; 339a,Accipitridae,Buse à épaulettes,Buteo,Accipitriformes,species,Buteo lineatus alleni; Buteo lineatus; Buteo lineatus elegans,Buteo lineatus,NA,NA,NA,NA,NA,NA,NA
Calcarius pictus,Calcarius pictus,1,Taxon concept 498521eb-9503-44b2-93aa-6961cb94ad6e containing 'Calcarius pictus' found between 1886 to 2017 in 5 datasets (part of name cluster ab0b558d-cf92-4cec-9149-8fd8ef8c1a30),added -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Smith's Longspur,1734; 537,Calcariidae,Plectrophane de Smith,Calcarius,Passeriformes,species,Calcarius pictus,Calcarius pictus,NA,NA,NA,NA,NA,NA,NA
Rhynchophanes mccownii,Calcarius mccownii; Rhynchophanes mccownii; Rhynchophanes mccowni,1,Taxon concept ece0f876-b36a-4de6-8aa3-2cfaa6d040a1 containing 'Rhynchophanes mccownii' and 'Calcarius mccownii' and 'Rhynchophanes mccowni' found between 1886 to 2017 in 8 datasets (part of name cluster 19f9beb9-3246-4e42-94a6-7c3a177e8c00),added -> rename -> rename -> rename -> referenced -> referenced -> rename -> referenced,added -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,McCown's Longspur,1732; 539,Calcariidae,Plectrophane de McCown,Rhynchophanes,Passeriformes,species,Calcarius mccownii; Rhynchophanes mccownii,Rhynchophanes mccownii,NA,NA,NA,NA,NA,NA,NA
Ardea cinerea,Ardea cinerea,1,Taxon concept 3395e3fd-e1ba-40c8-a723-965eb8e80461 containing 'Ardea cinerea' found between 1886 to 2017 in 6 datasets (part of name cluster d7bac221-b3a3-4e20-8b0d-1f35ed5f8045),added -> referenced -> referenced -> deleted -> added -> referenced,added -> referenced -> referenced -> deleted -> added -> referenced,,aou_1.csv (1886),1886,NA,Gray Heron,[195]; 225,Ardeidae,Héron cendré,Ardea,Pelecaniformes,species,Ardea cinerea,Ardea cinerea,A,NA,NA,NA,NA,NA,NA
Tachycineta cyaneoviridis,Tachycineta cyaneoviridis; Callichelidon cyaneoviridis,1,Taxon concept d5c99ae1-f342-4dc5-9474-3d306ce3fe4f containing 'Tachycineta cyaneoviridis' and 'Callichelidon cyaneoviridis' found between 1891 to 2017 in 5 datasets (part of name cluster ba5b0708-7a20-4b96-ae10-1950a5786525),added -> referenced -> rename -> referenced -> referenced,added -> referenced -> referenced -> referenced,,aou_1_03 (1891),1891,Monotypic.,Bahama Swallow,1322,Hirundinidae,Hirondelle des Bahamas,Tachycineta,Passeriformes,species,Tachycineta cyaneoviridis,Tachycineta cyaneoviridis,NA,NA,NA,NA,NA,NA,Hirundininae
Zenaida macroura,Zenaida macroura; Zenaidura macroura,1,Taxon concept 87fb02d8-a1ca-42ac-a33b-734ddbe67d34 containing 'Zenaidura macroura' and 'Zenaida macroura' found between 1886 to 2017 in 4 datasets (part of name cluster 60e3c441-1c99-4c9d-bdb2-06d16436d9b1),added -> rename -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Mourning Dove,556; 316,Columbidae,Tourterelle triste,Zenaida,Columbiformes,species,Zenaida macroura; Zenaidura macroura,Zenaida macroura,NA,NA,NA,NA,NA,NA,NA
Buteo swainsoni,Buteo swainsoni,1,Taxon concept 78832151-afe6-474a-8519-af09ec98d3d8 containing 'Buteo swainsoni' found between 1886 to 2017 in 5 datasets (part of name cluster 04a24210-7441-41b3-b14d-1dd1604aa613),added -> referenced -> referenced -> referenced -> referenced,added -> referenced -> referenced -> referenced -> referenced,,aou_1.csv (1886),1886,Monotypic.,Swainson's Hawk,342; 301,Accipitridae,Buse de Swainson,Buteo,Accipitriformes,species,Buteo swainsoni,Buteo swainsoni,NA,NA,NA,NA,NA,NA,NA
Tyrannus vociferans,Tyrannus vociferans,1,Taxon concept 902e8ac4-6537-4d67-bda7-875f864f8060 containing 'Tyrannus vociferans' found between 1886 to 2017 in 3 datasets (part of name cluster de9440eb-37f7-4926-b7cf-6d1d062ac5ec),added -> referenced -> referenced,added -> referenced -> referenced,,aou_1.csv (1886),1886,NA,Cassin's Kingbird,448; 1193,Tyrannidae,Tyran de Cassin,Tyrannus,Passeriformes,species,Tyrannus vociferans,Tyrannus vociferans,NA,NA,NA,NA,NA,NA,Tyranninae
